HMR,HSR_Coeff,FFR,CFR,BMR/HMR
2.076923077,1.332466148,0.861702128,2.6,2.888888889
1,0.729710729,0.862068966,2.027027027,2.675675676
2.183673469,1.250708771,0.862903226,2.041666667,2.308800623
2.733333333,1.560352852,0.863157895,2.5,2.865853659
2.714285714,1.48860718,0.863636364,2.058823529,2.188854489
3.08,1.683953238,0.865168539,1.785714286,1.971243043
2.028571429,1.353908606,0.865853659,2.1875,2.095070423
2.46875,1.469533299,0.868131868,1.904761905,2.073538276
0.654320988,0.486771959,0.868852459,1.528301887,1.758988964
1.673076923,1.082588675,0.87,3.466666667,3.944827586
1.581818182,1.033869983,0.87,2.291666667,2.634099617
2.292682927,1.321212332,0.87037037,2.157894737,2.180851064
1.574468085,1.097848979,0.870588235,3.133333333,3.641441441
2.387096774,1.459321307,0.870588235,2.384615385,2.352390852
2.046511628,1.247658451,0.871287129,1.592592593,2.026936027
1.732142857,1.050403991,0.873873874,2.153846154,2.464710547
1.069444444,0.727379702,0.875,2.25,2.62987013
1.790697674,1.175107784,0.875,2.388888889,2.637085137
1.448275862,0.952977268,0.875,3.222222222,4.066137566
1.82,1.116655353,0.875,2.173913043,2.269469661
2.058823529,1.337694175,0.875,3.4,3.885714286
1.62962963,1.015045736,0.88,2.454545455,2.789256198
3.384615385,1.64988656,0.88,1.733333333,1.871212121
1.315789474,0.888902298,0.882352941,1.461538462,1.734358974
1.942857143,1.26675843,0.883116883,2.058823529,2.603806228
1.610169492,1.052768012,0.88372093,2.025751073,2.372261125
3.652173913,1.718589023,0.884210526,2.527472527,2.948717949
1.953488372,1.175107784,0.884210526,2.388888889,2.616402116
1.794871795,1.172765305,0.886075949,2.6,2.822857143
2.611111111,1.367228254,0.886792453,2.25,2.704787234
4.235294118,1.893996676,0.888888889,3.953488372,4.228036176
1.491525424,0.900340671,0.888888889,3.470588235,3.707219251
2.105263158,1.241084816,0.888888889,2.923076923,3.361538462
0.91954023,0.521613504,0.888888889,2.806451613,3.33266129
1.490909091,0.919926631,0.891304348,2.2,2.52195122
3.351351351,1.44033982,0.892086331,1.681818182,1.763196481
2.677419355,1.417928622,0.892473118,2.214285714,2.481067126
1.722222222,0.977257175,0.894230769,2.571428571,2.903225806
1.709090909,0.961319316,0.895238095,2.75,3.188829787
2.783783784,1.343429807,0.895652174,2.466666667,2.801941748
2.205128205,1.218522795,0.895833333,2.785714286,3.077242525
2.689655172,1.430098523,0.896551724,1.611111111,1.817663818
1.944444444,1.015045736,0.897435897,2.7,2.982857143
1.25,0.742534571,0.898876404,2.285714286,2.428571429
1.666666667,0.93586449,0.9,1.636363636,1.727272727
1,0.606662178,0.904109589,4.4,5.066666667
3.448275862,1.475856014,0.909090909,3.222222222,3.415555556
2.083333333,1.038169535,0.909090909,3,3.06
3.033333333,1.40065201,0.91,3.333333333,3.516483516
2.757575758,1.317866639,0.91,2.538461538,2.928994083
1.654545455,0.87416914,0.91,3.055555556,3.290598291
2.612903226,1.321018609,0.91011236,2.583333333,3.061728395
2.55,1.196532027,0.910714286,1.904761905,2.072829132
1.342105263,0.639024825,0.910714286,4.470588235,4.952710496
4.272727273,1.670049157,0.912621359,2.365591398,2.566918325
2.391304348,1.075136346,0.916666667,1.703703704,1.827609428
2.052631579,1.086182856,0.917647059,2,2.307692308
2.393939394,1.20872217,0.918604651,2.75,3.098101266
1.576923077,0.813743362,0.921348315,3.466666667,4.100813008
3.307692308,1.259915481,0.921428571,1.95,2.040697674
1.23880597,0.593600444,0.922222222,3.19047619,3.459552496
2.512820513,1.121612782,0.924528302,2.4375,2.586734694
1.5,0.718894062,0.925531915,2.9,3.266666667
2.37037037,1.236894486,0.927536232,3.698630137,4.045376712
2.418604651,1.036805085,0.928571429,1.954545455,2.349213287
1.098591549,0.476286562,0.928571429,2.679245283,3.366231253
1.75,0.747439496,0.92920354,2.068965517,2.266009852
1.207792208,0.472768599,0.93,2.483870968,3.124869927
1.840909091,0.891897907,0.931034483,2.2,2.444444444
1.555555556,0.71401574,0.933333333,2.842105263,3.214285714
1.508474576,0.637099237,0.936842105,3.105263158,3.384387936
1.918367347,0.7984111,0.94,3.0625,3.355718085
2.580645161,1.116898626,0.941176471,2.583333333,2.615625
2.631578947,1.019236067,0.943396226,2.235294118,2.324705882
3,1.174826018,0.945652174,2.636363636,2.787878788
2,0.890106999,0.947368421,2.25,2.53125
3.37037037,1.236894486,0.947916667,1.421052632,1.514748409
2.219512195,0.8740543,0.947916667,2.411764706,2.597285068
2.083333333,0.890106999,0.949367089,3.272727273,3.578181818
0.76,0.002712001,0.95,3.225806452,3.353140917
1.976470588,0.745934141,0.954545455,2.428571429,2.717687075
13.71428571,2.312515921,0.96,0.985915493,1.016725352
2.133333333,0.696286973,0.96,2.5,2.552083333
1.777777778,0.571348237,0.963855422,5.487804878,5.693597561
1.490909091,0.397047885,0.964705882,1.896551724,2.289739277
2.75,0.867473308,0.967032967,2.285714286,2.493506494
1.491803279,0.307113594,0.968085106,3.210526316,3.775014459
2.459459459,0.741369816,0.968085106,2.466666667,2.629304029
2.30952381,0.631274683,0.97,2.1,2.121649485
2.234042553,0.533577548,0.972222222,2.473684211,2.403007519
2.833333333,0.747439496,0.977011494,2.5,2.647058824
1.543859649,0.189932294,0.977777778,3.166666667,3.238636364
0.989010989,-0.216400779,0.97826087,3.5,3.616666667
2.757575758,0.664654125,0.978494624,3.707865169,3.870848253
2,0.33919953,0.979591837,2.666666667,2.916666667
3,0.691382049,0.979591837,2.461538462,2.564102564
2.227272727,0.414776652,0.98,2.933333333,2.963265306
2.827586207,0.475856014,0.987951807,3.085106383,3.386092372
